ÈÕÆÚ,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH
2015/5/7,-6.786,-4.6304,-1.7802,-5.5963,0,-1.232,-2.7344,0.3247,-2.0198,-6.3423,-4.7509,-5.8921,10,-7.4512,-4.5376,5.7396,,,,,,,,,,,-4.5005,-6.0569,-4.8128,-5.7043,0,0,-2.8239,,,,,,,,,,,4.5969,4.3516,2.1325,3.6531,,1.5409,1.7973,1.1899,3.427,4.7175,3.6236,6.0966,11.2779,5.199,4.3849,6.305,,,,,,,,,,,2.4575,3.2265,3.7181,2.9066,,,1.8509,,,,,,,,,,,5800080000,7546640751,4032000000,7461139077,2518774000,9377576770,12144100445,11469695422,3273369200,5813327808,13766678119,4811812569,3576758038,2177580561,1575906785,2788920000,,,,,,,,,,,11724255250,10732160847,5255129600,10102060800,15262560283,6278015413,5074619821,,,,,,,,,,,1967.8295,70.2207,170.2698,176.1909,1155.0162,89.3544,40.7445,285.8991,86.3433,293.4017,1434.5561,104.1045,-609.5421,101.1053,86.7811,81.9508,,,,,,,,,,,303.0072,93.9243,147.3458,61.4689,112.4297,442.3062,58.8132,,,,,,,,,,,20.6146,8.1685,6.9216,5.8903,3.7667,4.566,5.047,6.5386,4.639,11.1937,5.367,5.1074,5.7816,5.4529,3.7704,12.7574,,,,,,,,,,,7.2063,5.0575,2.6765,4.2114,4.6798,4.0073,7.3432,,,,,,,,,,,58.3586,19.6695,4.2661,8.1235,2.0128,5.1639,3.6755,12.4476,17.0973,41.6653,34.2032,24.4364,103.5637,8.5021,29.4956,14.1976,,,,,,,,,,,25.0571,2.5533,4.2524,5.4021,2.7401,1.4937,18.7488,,,,,,,,,,
2015/5/8,3.76,5.9057,5.0625,8.3576,0,3.8115,3.9587,4.5896,4.3103,8.7571,9.9944,6.3051,8.3288,7.7565,3.4342,9.2532,,,,,,,,,,,10,5.9714,4.7753,3.3333,0,0,4.5356,,,,,,,,,,,3.5578,5.9036,3.4627,5.5161,,1.8001,2.475,1.3347,4.1536,5.8326,5.5432,7.6108,10.824,5.7148,4.7024,7.6369,,,,,,,,,,,2.3504,3.8045,4.1967,2.5341,,,2.0136,,,,,,,,,,,6018163008,7992325383,4236120000,8084713382,2518774000,9735003466,12624847967,11996106862,3414462700,6322409003,15142574400,5115202867,3874658952,2346484698,1630025940,3046984000,,,,,,,,,,,12896680775,11373025493,5506076800,10438796160,15262560283,6278015413,5304786163,,,,,,,,,,,2041.8198,74.3677,178.8897,190.9162,1155.0162,92.7602,42.3574,299.0207,90.065,319.0953,1577.9313,110.6685,-660.3096,108.9475,89.7613,89.5339,,,,,,,,,,,333.308,99.5329,154.382,63.5179,112.4297,442.3062,61.4808,,,,,,,,,,,21.3897,8.6509,7.272,6.3826,3.7667,4.74,5.2468,6.8387,4.8389,12.1739,5.9034,5.4294,6.2631,5.8759,3.8999,13.9379,,,,,,,,,,,7.9269,5.3595,2.8043,4.3518,4.6798,4.0073,7.6763,,,,,,,,,,,60.5529,20.8311,4.4821,8.8025,2.0128,5.3608,3.821,13.0189,17.8342,45.3139,37.6216,25.9771,112.1893,9.1616,30.5085,15.5114,,,,,,,,,,,27.5628,2.7058,4.4554,5.5822,2.7401,1.4937,19.5991,,,,,,,,,,
2015/5/11,2.7756,4.9598,0.8923,10.0448,10.0231,5.1402,4.8565,2.8129,4.5275,8.7522,4.1101,5.5993,8.0905,10.0228,5.9807,3.7012,,,,,,,,,,,6.4786,3.8791,4.6917,4.779,0,0,4.3013,,,,,,,,,,,4.949,3.6384,4.6058,10.9742,0.0164,2.3083,5.1394,1.9355,5.5665,5.6192,6.5996,10.44,9.8731,10.0125,6.0346,5.7028,,,,,,,,,,,7.1014,4.7305,5.1925,3.5282,,,3.4971,,,,,,,,,,,6185205312,18831750953,4273920000,8896810153,2771234000,10235400840,13237975241,12333550093,3569052100,6875758128,15764942438,5401620282,4188136385,2581667675,1727512100,3159760000,,,,,,,,,,,13732202414,11814200430,5764404800,10937663360,15262560283,6278015413,5532959723,,,,,,,,,,,2098.4933,78.0562,180.486,210.0935,1270.785,97.5282,44.4145,307.432,94.1427,347.0231,1642.7852,116.8652,-713.7316,119.8671,95.1297,92.8477,,,,,,,,,,,354.9016,103.3939,161.6251,66.5534,112.4297,442.3062,64.1252,,,,,,,,,,,21.9834,9.08,7.3368,7.0237,4.1442,4.9836,5.5016,7.031,5.058,13.2394,6.146,5.7335,6.7698,6.4648,4.1332,14.4537,,,,,,,,,,,8.4404,5.5674,2.9358,4.5598,4.6798,4.0073,8.0065,,,,,,,,,,,62.2337,21.8643,4.5221,9.6867,2.2146,5.6363,4.0066,13.3851,18.6417,49.2799,39.1679,27.4317,121.2659,10.0798,32.3332,16.0855,,,,,,,,,,,29.3484,2.8107,4.6645,5.8489,2.7401,1.4937,20.4421,,,,,,,,,,
2015/5/12,1.7254,9.1443,2.4764,2.282,10.021,3.4286,3.3158,0.9576,-0.9969,3.817,-1.4192,-0.6284,-2.6964,1.1594,3.1328,-4.9518,,,,,,,,,,,10.0098,-0.7469,0.3841,0.6842,0,0,2.089,,,,,,,,,,,5.3448,4.2956,4.8238,11.5204,0.0075,3.6275,5.2976,1.2219,4.439,5.9324,6.3062,10.4756,9.6522,12.1318,9.1375,7.7124,,,,,,,,,,,4.1396,3.9999,4.4712,4.0189,,,4.7533,,,,,,,,,,,6291926784,20553785906,4379760000,9099834345,3048940000,10586328869,13676918631,12451655224,3533472000,7138203713,15541198556,5367674514,4075206626,2611600054,1781631255,3003296000,,,,,,,,,,,15106770271,12503013816,5786547200,11012493440,15262560283,6278015413,5648541089,,,,,,,,,,,2134.7014,85.1939,184.9556,214.8878,1398.1307,100.872,45.8872,310.3759,93.2042,360.2689,1619.4699,116.1307,-694.4864,121.2569,98.1099,88.2501,,,,,,,,,,,390.4266,102.6217,162.2459,67.0087,112.4297,442.3062,65.4648,,,,,,,,,,,22.3627,9.9103,7.5185,7.184,4.5595,5.1545,5.684,7.0984,5.0076,13.7447,6.0588,5.6974,6.5873,6.5397,4.2626,13.738,,,,,,,,,,,9.2853,5.5258,2.9471,4.591,4.6798,4.0073,8.1737,,,,,,,,,,,63.3075,23.8636,4.6341,9.9077,2.4365,5.8296,4.1394,13.5133,18.4558,51.1609,38.612,27.2593,117.9961,10.1967,33.3461,15.289,,,,,,,,,,,32.2862,2.7897,4.6824,5.8889,2.7401,1.4937,20.8692,,,,,,,,,,
2015/5/13,2.2124,0.5617,-1.7837,3.4263,10,1.903,0.2547,1.6531,-3.1597,-3.1229,-2.0354,-1.8577,5.2078,3.2747,-0.7242,-0.5413,,,,,,,,,,,3.6574,3.3663,3.1888,2.4915,0,0,-3.2281,,,,,,,,,,,7.0325,4.7818,2.4503,8.8871,0.0136,2.7906,4.9105,1.478,4.3945,5.3725,4.4045,7.9907,9.8269,8.5725,5.2759,6.6407,,,,,,,,,,,6.2756,4.6078,8.2676,5.48,,,8.6103,,,,,,,,,,,6431128704,20669229590,4301640000,9411621498,3353834000,10787787552,13711755408,12657495595,3421824100,6915283065,15224871000,5267958822,4287436690,2697121136,1768728675,2987040000,,,,,,,,,,,15659292645,12923907350,5971067200,11286870400,15262560283,6278015413,5466201520,,,,,,,,,,,2181.9293,85.6724,181.6566,222.2505,1537.9437,102.7916,46.0041,315.5068,90.2592,349.018,1586.507,113.9734,-730.6542,125.2276,97.3993,87.7725,,,,,,,,,,,404.7062,106.0763,167.4196,68.6783,112.4297,442.3062,63.3515,,,,,,,,,,,22.8574,9.966,7.3844,7.4302,5.0154,5.2526,5.6985,7.2157,4.8494,13.3155,5.9355,5.5916,6.9303,6.7539,4.2318,13.6637,,,,,,,,,,,9.6249,5.7118,3.0411,4.7054,4.6798,4.0073,7.9099,,,,,,,,,,,64.7081,23.9977,4.5514,10.2472,2.6802,5.9405,4.15,13.7367,17.8727,49.5632,37.8261,26.7529,124.1411,10.5306,33.1046,15.2062,,,,,,,,,,,33.467,2.8836,4.8317,6.0357,2.7401,1.4937,20.1955,,,,,,,,,,
2015/5/14,5.9885,-1.7919,0.0586,-0.077,10.0174,3.0723,0.0508,-1.3596,2.1513,-3.3836,-0.5068,7.0882,-2.0663,-0.9116,4.539,0.1701,,,,,,,,,,,-0.8176,0.6897,7.911,1.989,0,0,10.0073,,,,,,,,,,,10.9829,3.3918,2.595,6.9185,0.0259,3.0074,3.9757,1.3088,5.4669,3.5207,4.4997,12.5235,6.7579,5.5994,5.8857,3.4454,,,,,,,,,,,3.8745,5.1155,15.8989,5.1706,,,9.5471,,,,,,,,,,,6816254016,20298847770,4304160000,9404370634,3689800000,11119219579,13718722763,12485399547,3495438100,6681295435,15147717938,5641362266,4198845241,2672533825,1849011395,2992120000,,,,,,,,,,,15531269168,13013037746,6443438400,11511360640,15262560283,6278015413,6013220228,,,,,,,,,,,2312.5932,84.1372,181.763,222.0792,1692.0053,105.9497,46.0275,311.217,92.201,337.2085,1578.4673,122.052,-715.5566,124.086,101.8203,87.9217,,,,,,,,,,,401.3975,106.8078,180.6641,70.0442,112.4297,442.3062,69.6913,,,,,,,,,,,24.2263,9.7874,7.3888,7.4244,5.5179,5.414,5.7014,7.1176,4.9537,12.8649,5.9054,5.9879,6.7871,6.6923,4.4238,13.6869,,,,,,,,,,,9.5462,5.7512,3.2817,4.799,4.6798,4.0073,8.7014,,,,,,,,,,,68.5831,23.5677,4.5541,10.2393,2.9486,6.123,4.1521,13.5499,18.2572,47.8862,37.6344,28.6492,121.576,10.4346,34.6072,15.2321,,,,,,,,,,,33.1934,2.9035,5.2139,6.1557,2.7401,1.4937,22.2165,,,,,,,,,,
2015/5/15,1.2253,1.1848,-3.9813,-2.6214,10,-3.8574,-3.8598,-0.5405,-1.0179,1.3015,-3.3786,-3.6856,-2.4577,2.64,-4.0512,-4.0747,,,,,,,,,,,3.3839,-4.9467,-2.291,-4.442,0,0,-1.4085,,,,,,,,,,,12.078,3.1237,2.0083,4.8691,0.0262,3.0727,3.7051,1.4914,4.8595,3.2819,3.8366,7.7449,5.251,6.5739,4.6022,5.4659,0.0208,,,,,,,,,,4.4148,3.7993,9.1105,4.0804,,,7.3539,,,,,,,,,,,6899775168,20539355445,4132800000,9157841257,4058780000,10690307544,13189203753,12417910901,3459858000,6768250298,14635935956,5433444439,4095650807,2743088718,1774104750,2870200000,733200000,,,,,,,,,,16056839231,12369318223,6295822400,11000021760,15262560283,6278015413,5928526986,,,,,,,,,,,2340.9299,85.1341,174.5266,216.2576,1861.2058,101.8628,44.2509,309.5348,91.2625,341.5972,1525.1371,117.5537,-697.9705,127.3619,97.6954,84.3392,26.5802,,,,,,,,,,414.9806,101.5244,176.5252,66.9328,112.4297,442.3062,68.7097,,,,,,,,,,,24.5231,9.9034,7.0946,7.2298,6.0697,5.2051,5.4813,7.0791,4.9033,13.0324,5.7059,5.7672,6.6203,6.869,4.2446,13.1292,2.9352,,,,,,,,,,9.8693,5.4667,3.2065,4.5858,4.6798,4.0073,8.5789,,,,,,,,,,,69.4234,23.8469,4.3728,9.9709,3.2435,5.8868,3.9918,13.4767,18.0713,48.5094,36.3629,27.5933,118.588,10.7101,33.2052,14.6114,2.3614,,,,,,,,,,34.3167,2.7599,5.0945,5.8823,2.7401,1.4937,21.9036,,,,,,,,,,
2015/5/18,-1.5467,3.0679,4.8171,1.9794,10,-0.6687,5.5468,2.1739,4.1844,7.9654,9.9982,2.3819,4.5638,9.6648,5.697,0.177,9.9836,,,,,,,,,,2.4759,10.008,5.2755,7.9365,0,0,5.5126,,,,,,,,,,,10.133,2.9987,2.5646,4.7072,0.043,1.8038,4.5808,1.3888,4.9397,5.6336,5.5577,9.0969,5.745,8.0329,6.5891,6.7335,0.005,,,,,,,,,,3.6954,9.7437,10.29,6.8809,,,7.1368,,,,,,,,,,,6793053696,21169485554,4331880000,9339112858,4464658000,10618822205,13920776069,12687865486,3604632200,7307370445,16099272375,5562862679,4282569028,3008204073,1875174960,2875280000,806400000,,,,,,,,,,16454385817,13607240383,6627958400,11873039360,15262560283,6278015413,6255343263,,,,,,,,,,,2304.7219,87.7459,182.9336,220.5382,2047.3264,101.1816,46.7054,316.2638,95.0812,368.8069,1677.624,120.3537,-729.8246,139.6712,103.2611,84.4885,29.2339,,,,,,,,,,425.255,111.6849,185.8378,72.245,112.4297,442.3062,72.4974,,,,,,,,,,,24.1438,10.2072,7.4363,7.3729,6.6766,5.1703,5.7853,7.233,5.1085,14.0705,6.2764,5.9046,6.9224,7.5329,4.4864,13.1524,3.2283,,,,,,,,,,10.1136,6.0138,3.3757,4.9497,4.6798,4.0073,9.0518,,,,,,,,,,,68.3496,24.5785,4.5834,10.1682,3.5679,5.8475,4.2132,13.7696,18.8275,52.3734,39.9985,28.2506,124.0002,11.7452,35.0969,14.6373,2.5972,,,,,,,,,,35.1663,3.0361,5.3632,6.3491,2.7401,1.4937,23.1111,,,,,,,,,,
2015/5/19,2.6639,-1.8632,0.0582,4.2702,10.0043,2.9376,1.8018,4.4681,1.4295,8.1783,6.869,0.3814,4.5692,-1.0306,-0.6498,-1.9965,10.0198,,,,,,,,,,5.733,6.7322,7.5724,1.4706,0,0,0.6849,,,,,,,,,,,8.9264,2.5743,2.3045,6.3579,0.0559,1.939,4.3148,1.7022,4.7663,4.5952,6.7314,9.35,5.5323,6.91,7.8337,5.9447,0.005,,,,,,,,,,3.5297,10.2189,10.142,5.7767,,,5.7994,,,,,,,,,,,6974016192,20775052967,4334400000,9737910379,4911318000,10930758230,14171600863,13254770114,3656162000,7904987500,17205132938,5584078783,4478249040,2977202681,1862989190,2817876000,887200000,,,,,,,,,,17397716699,14523302781,7129852800,12047642880,15262560283,6278015413,6298188080,,,,,,,,,,,2366.1181,86.111,183.04,229.9556,2252.148,104.1539,47.5469,330.3947,96.4405,398.9689,1792.8602,120.8127,-763.1719,138.2318,102.59,82.8017,32.1631,,,,,,,,,,449.6349,119.2037,199.9102,73.3074,112.4297,442.3062,72.994,,,,,,,,,,,24.787,10.017,7.4407,7.6878,7.3446,5.3222,5.8896,7.5562,5.1815,15.2212,6.7075,5.9271,7.2387,7.4552,4.4573,12.8898,3.5517,,,,,,,,,,10.6934,6.4187,3.6313,5.0225,4.6798,4.0073,9.1138,,,,,,,,,,,70.1704,24.1205,4.5861,10.6024,3.9248,6.0192,4.2891,14.3849,19.0967,56.6566,42.7461,28.3583,129.666,11.6241,34.8688,14.345,2.8574,,,,,,,,,,37.1824,3.2405,5.7694,6.4425,2.7401,1.4937,23.2694,,,,,,,,,,
2015/5/20,5.3892,5.1169,10,0.1489,10.004,1.308,0.1967,2.2912,3.6577,10,7.6084,5.6231,-0.1087,0.3591,10.0038,10.0054,10.009,,,,,,,,,,7.7072,9.9898,-0.3106,-1.6563,0,0,-2.1516,,,,,,,,,,,13.3289,4.0065,3.3239,7.9838,0.0452,2.5712,4.7477,2.3523,4.6959,5.9631,6.7716,14.2183,5.408,5.5751,11.3262,8.992,0.0067,,,,,,,,,,3.7983,6.1875,8.5,6.5194,,,6.1126,,,,,,,,,,,7349861376,21838096890,4767840000,9752412107,5402644000,11073728909,14199470285,13558469022,3789894100,8695486250,18514163231,5898077134,4473381378,2987892816,2049359790,3099816000,976000000,,,,,,,,,,18738594167,15974147553,7107710400,11848096000,15262560283,6278015413,6162678892,,,,,,,,,,,2493.6335,90.5173,201.344,230.2981,2477.4519,105.5162,47.6404,337.9649,99.968,438.8658,1929.2676,127.6061,-762.3424,138.7282,112.853,91.0863,35.3823,,,,,,,,,,484.2892,131.1119,199.2893,72.0932,112.4297,442.3062,71.4235,,,,,,,,,,,26.1228,10.5296,8.1847,7.6992,8.0793,5.3918,5.9011,7.7293,5.371,16.7433,7.2178,6.2604,7.2309,7.482,4.9032,14.1795,3.9072,,,,,,,,,,11.5176,7.0599,3.62,4.9393,4.6798,4.0073,8.9177,,,,,,,,,,,73.9521,25.3548,5.0447,10.6182,4.3174,6.098,4.2976,14.7145,19.7952,62.3223,45.9983,29.9529,129.5251,11.6659,38.3571,15.7803,3.1434,,,,,,,,,,40.0481,3.5642,5.7514,6.3358,2.7401,1.4937,22.7687,,,,,,,,,,
2015/5/21,9.0278,10,7.2939,2.6022,9.9928,6.6901,7.0658,10.005,1.4892,10,4.32,8.8489,1.197,0,5.2641,9.9967,10,,,,,,,,,,6.1848,10.0124,5.3998,3.6842,10.0056,0,1.4713,,,,,,,,,,,14.2081,3.0129,4.9784,5.3885,2.7568,2.8224,5.0093,2.0467,6.0629,6.3553,5.7094,14.0765,5.614,,9.1959,8.7371,0.0105,,,,,,,,,,4.5284,10.5587,7.3065,5.1989,0.0708,,4.752,,,,,,,,,,,8013390528,24021906579,5115600000,10006192348,5942520000,11814576970,15202769461,14914990810,3846331500,9565034875,19313983313,6419993312,4526925660,2987892816,2157239695,3409696000,1073600000,,,,,,,,,,19897543537,17573542983,7491512000,12284604800,16789669445,6278015413,6253350481,,,,,,,,,,,2718.7532,99.569,216.0298,236.291,2725.019,112.5754,51.0066,371.7782,101.4567,482.7524,2012.6128,138.8979,-771.4673,138.7282,118.7936,100.192,38.9205,,,,,,,,,,514.2416,144.2394,210.0505,74.7493,123.6789,442.3062,72.4743,,,,,,,,,,,28.4811,11.5825,8.7817,7.8996,8.8867,5.7526,6.3181,8.5026,5.451,18.4176,7.5296,6.8144,7.3174,7.482,5.1613,15.597,4.298,,,,,,,,,,12.2299,7.7668,3.8155,5.1213,5.148,4.0073,9.0489,,,,,,,,,,,80.6283,27.8903,5.4127,10.8945,4.7489,6.5059,4.6012,16.1866,20.09,68.5545,47.9855,32.6034,131.0754,11.6659,40.3762,17.3578,3.4577,,,,,,,,,,42.525,3.9211,6.062,6.5692,3.0142,1.4937,23.1037,,,,,,,,,,
2015/5/22,-0.9844,5.1662,0.0493,0.7246,10,3.9604,-0.3666,0.7919,-2.8708,-5.8347,-4.4341,-3.3708,6.4516,0,-3.7049,-7.1514,9.9851,,,,,,,,,,-3.6573,4.3393,-0.6897,2.7411,10.0102,0,2.7325,,,,,,,,,,,13.6234,5.3218,4.2281,6.1174,0.4472,3.073,4.3733,1.8108,6.001,6.7304,6.0694,14.8824,10.2493,,7.0093,10.869,0.0132,,,,,,,,,,5.1251,18.0365,6.4588,5.666,0.031,,5.1856,,,,,,,,,,,7934509440,25262926182,5118120000,10078700988,6536772000,12282481008,15147030618,15033095941,3735910500,9006942758,18457584319,6203589044,4818985380,2987892816,2077315380,3165856000,1180800000,,,,,,,,,,19169831142,18336103034,7439846400,12621340160,18470342657,6278015413,6405798318,,,,,,,,,,,2691.9907,104.7129,216.1362,238.0032,2997.5209,117.0338,50.8196,374.7221,98.544,454.5852,1923.3718,134.2159,-821.2393,138.7282,114.3924,93.0269,42.8068,,,,,,,,,,495.4343,150.4983,208.6019,76.7982,136.0594,442.3062,74.2412,,,,,,,,,,,28.2007,12.1809,8.786,7.9568,9.7753,5.9804,6.2949,8.57,5.2945,17.343,7.1958,6.5847,7.7895,7.482,4.9701,14.4816,4.7271,,,,,,,,,,11.7826,8.1038,3.7891,5.2617,5.6633,4.0073,9.2695,,,,,,,,,,,79.8346,29.3311,5.4153,10.9735,5.2237,6.7636,4.5844,16.3148,19.5132,64.5545,45.8578,31.5044,139.5319,11.6659,38.8803,16.1165,3.803,,,,,,,,,,40.9697,4.0912,6.0202,6.7493,3.316,1.4937,23.6669,,,,,,,,,,
2015/5/25,5.2632,1.9612,9.9951,0.7194,10.0119,4.8148,1.104,6.8462,2.8571,5.3556,-2.4662,-2.736,4.6465,0,0.3968,-3.4178,9.9932,,,,,,,,,,7.065,0.4591,1.0913,3.2609,10.0231,0,3.1576,,,,,,,,,,,13.174,4.6631,4.0956,5.947,10.3218,3.6078,4.0281,2.115,6.8889,6.313,6.1302,11.6361,8.6712,,7.4402,6.4234,0.0087,,,,,,,,,,5.4474,9.8745,6.2189,6.2949,0.1119,,5.3835,,,,,,,,,,,8352115200,25758371993,5629680000,10151209628,7191226000,12873859723,15314247147,16062297796,3842650800,9485985000,18002381250,6033860205,5042897832,2987892816,2085558695,3057652000,1298800000,,,,,,,,,,20524184766,18420281741,7521035200,13032905600,20321642590,6278015413,6608065709,,,,,,,,,,,2833.6744,106.7665,237.7392,239.7155,3297.6292,122.6688,51.3806,400.3765,101.3596,478.7627,1875.9374,130.5438,-859.3979,138.7282,114.8464,89.8474,47.0846,,,,,,,,,,530.4368,151.1892,210.8783,79.3025,149.6967,442.3062,76.5854,,,,,,,,,,,29.685,12.4198,9.6642,8.014,10.754,6.2683,6.3644,9.1567,5.4458,18.2654,7.0183,6.4045,8.1515,7.482,4.9898,13.9867,5.1995,,,,,,,,,,12.6151,8.141,3.8305,5.4333,6.231,4.0073,9.5622,,,,,,,,,,,84.0365,29.9064,5.9566,11.0524,5.7467,7.0892,4.635,17.4318,20.0707,67.9879,44.7268,30.6425,146.0152,11.6659,39.0346,15.5657,4.1831,,,,,,,,,,43.8643,4.11,6.0859,6.9694,3.6483,1.4937,24.4142,,,,,,,,,,
2015/5/26,0.9444,10.0093,2.3724,4.0714,9.9919,9.995,9.1902,4.1807,9.9936,10,2.7143,5.4852,10,0,5.0696,10.0017,10.0092,,,,,,,,,,1.0177,10,7.949,7.3684,9.9916,0,2.4879,,,,,,,,,,,11.7194,6.0099,3.7062,6.4011,17.6613,5.0985,5.3004,2.2585,2.6663,5.2664,4.9204,11.0691,9.172,,7.2634,4.2748,0.0092,,,,,,,,,,4.2403,5.1761,7.1346,7.477,8.0157,,6.0853,,,,,,,,,,,8430996288,28336614269,5763240000,10564508877,7909766000,14160595829,16721652936,16733809825,4226670500,10434583500,18491017313,6364831440,5547187615,2987892816,2191288170,3363468000,1428800000,,,,,,,,,,20733065175,20262309915,8118880000,13993224960,22352100582,6278015413,6772470239,,,,,,,,,,,2860.4369,117.4531,243.3794,249.4753,3627.125,134.9295,56.1026,417.1149,111.4891,526.6389,1926.8557,137.7044,-945.3377,138.7282,120.6686,98.8336,51.7974,,,,,,,,,,535.8352,166.3081,227.641,85.1459,164.6538,442.3062,78.4908,,,,,,,,,,,29.9654,13.6629,9.8935,8.3403,11.8286,6.8948,6.9493,9.5395,5.99,20.092,7.2088,6.7558,8.9666,7.482,5.2428,15.3855,5.7199,,,,,,,,,,12.7435,8.9551,4.135,5.8336,6.8535,4.0073,9.8001,,,,,,,,,,,84.8301,32.8998,6.0979,11.5024,6.321,7.7978,5.0609,18.1605,22.0765,74.7867,45.9408,32.3233,160.6167,11.6659,41.0135,17.1225,4.6017,,,,,,,,,,44.3107,4.521,6.5697,7.4829,4.0129,1.4937,25.0217,,,,,,,,,,
2015/5/27,-3.5773,-2.75,2.23,-2.1993,2.8726,1.8816,-2.1667,2.3997,-0.029,7.5758,-1.9471,-1.0667,2.5448,10.0179,2.3716,4.5159,9.9944,,,,,,,,,,-3.1199,9.9951,10,6.7736,2.5191,0,3.5751,,,,,,,,,,,12.8091,4.9695,4.4509,5.92,13.9665,5.0956,4.7694,1.949,7.546,6.3134,4.2822,11.1817,7.7899,0.2703,6.7229,10.0192,0.0112,,,,,,,,,,3.9893,9.5054,10.5024,7.0218,14.3869,,8.1337,,,,,,,,,,,8129392128,27557369402,5891760000,10317979500,8136980000,14427041184,16359350456,17135367270,4225443600,11225082250,18130969688,6296939905,5688349813,3287216605,2243256895,3515360000,1571600000,,,,,,,,,,20086209713,22287550569,8930768000,14941072640,22915168765,6278015413,7014593274,,,,,,,,,,,2758.1098,114.2232,248.8068,243.6536,3731.3169,137.4683,54.887,427.1244,111.4567,566.5358,1889.3369,136.2356,-969.3942,152.6258,123.5304,103.2968,56.9742,,,,,,,,,,519.1176,182.9308,250.4051,90.9133,168.8016,442.3062,81.2969,,,,,,,,,,,28.8934,13.2872,10.1141,8.1457,12.1683,7.0246,6.7988,9.7684,5.9883,21.6141,7.0684,6.6838,9.1948,8.2315,5.3671,16.0804,6.2916,,,,,,,,,,12.3459,9.8502,4.5485,6.2288,7.0262,4.0073,10.1504,,,,,,,,,,,81.7955,31.995,6.2339,11.234,6.5025,7.9445,4.9513,18.5963,22.0701,80.4524,45.0463,31.9785,164.704,12.8346,41.9861,17.8957,5.0617,,,,,,,,,,42.9282,4.9729,7.2266,7.9898,4.1139,1.4937,25.9162,,,,,,,,,,
